Tot_Match_Played,Tot_Runs,batsman,run_Over_1,run_Over_10,run_Over_11,run_Over_12,run_Over_13,run_Over_14,run_Over_15,run_Over_16,run_Over_17,run_Over_18,run_Over_19,run_Over_2,run_Over_20,run_Over_3,run_Over_4,run_Over_5,run_Over_6,run_Over_7,run_Over_8,run_Over_9
2.0,12.0,M Ntini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,13.0,DT Patil,0.0,0.0,1.0,3.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,20.0,A Kumble,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,140.0,S Anirudha,1.0,3.0,2.0,5.0,2.0,3.0,10.0,12.0,11.0,16.0,31.0,6.0,0.0,5.0,7.0,1.0,13.0,7.0,3.0,2.0
3.0,19.0,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,58.0,A Chopra,2.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,5.0,10.0,2.0,6.0,5.0
3.0,27.0,T Taibu,0.0,11.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
3.0,25.0,J Arunkumar,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,13.0,0.0,0.0,0.0,0.0
19.0,12.0,PP Ojha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,243.0,SP Goswami,15.0,8.0,6.0,11.0,6.0,13.0,10.0,15.0,2.0,1.0,1.0,28.0,0.0,20.0,29.0,16.0,20.0,12.0,22.0,8.0
78.0,2501.0,SR Tendulkar,121.0,116.0,134.0,113.0,91.0,69.0,71.0,99.0,46.0,16.0,37.0,238.0,0.0,191.0,277.0,184.0,243.0,161.0,171.0,123.0
1.0,0.0,U Kaul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,1219.0,TM Dilshan,76.0,51.0,57.0,51.0,38.0,57.0,45.0,40.0,69.0,29.0,47.0,102.0,0.0,48.0,100.0,86.0,114.0,59.0,59.0,91.0
11.0,71.0,AD Mascarenhas,0.0,2.0,1.0,2.0,3.0,6.0,13.0,17.0,14.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
6.0,120.0,Niraj Patel,5.0,11.0,3.0,0.0,2.0,2.0,3.0,6.0,4.0,9.0,12.0,5.0,0.0,2.0,20.0,8.0,10.0,7.0,5.0,6.0
16.0,305.0,LA Pomersbach,5.0,10.0,7.0,15.0,18.0,31.0,38.0,10.0,21.0,13.0,6.0,10.0,0.0,14.0,43.0,20.0,17.0,13.0,11.0,3.0
1.0,3.0,Younis Khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,PM Sarvesh Kumar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,DP Vijaykumar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,Shoaib Akhtar,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,Abdur Razzak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,H Das,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,91.0,SD Chitnis,0.0,13.0,2.0,7.0,12.0,13.0,2.0,5.0,7.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0
